field,gold_abstention_rate,pred_abstention_rate,precision,recall
revenue_direction,0.08333333333333333,0.25,0.2,0.6
eps_direction,0.21666666666666667,0.26666666666666666,0.4375,0.5384615384615384
margin_direction,0.65,0.45,0.9629629629629629,0.6666666666666666
guidance_action,0.2833333333333333,0.23333333333333334,0.8571428571428571,0.7058823529411765
dividend_action,0.8166666666666667,0.4166666666666667,1.0,0.5102040816326531
tone,0.016666666666666666,0.016666666666666666,0.0,0.0
revenue_yoy_pct,0.2,0.5333333333333333,0.1875,0.5
guidance_horizon_quarters,0.31666666666666665,0.23333333333333334,0.8571428571428571,0.631578947368421
