mean_predicted,observed_frequency,n_events
0.11905142869307307,0.1724137931034483,29
0.24178233229050214,0.27586206896551724,29
0.29918329868172766,0.2413793103448276,29
0.3569628633729835,0.3448275862068966,29
0.40494541893441555,0.5,28
0.44751528311652095,0.5172413793103449,29
0.48301426093320726,0.5172413793103449,29
0.5194031547518418,0.6206896551724138,29
0.5654635210640895,0.6551724137931034,29
0.648832596202229,0.6551724137931034,29
